cat,relative,sim
Distinct profiles,4,0.0
Distinct profiles,6,0.1
Distinct profiles,11,0.2
Distinct profiles,6,0.3
Distinct profiles,8,0.4
Distinct profiles,9,0.5
Distinct profiles,11,0.6
Distinct profiles,11,0.7
Distinct profiles,9,0.8
Distinct profiles,7,0.9
Distinct profiles,18,1.0
Location (C12),3,0.0
Location (C12),4,0.1
Location (C12),7,0.2
Location (C12),8,0.3
Location (C12),7,0.4
Location (C12),12,0.5
Location (C12),8,0.6
Location (C12),10,0.7
Location (C12),10,0.8
Location (C12),9,0.9
Location (C12),21,1.0
Interaction (C10),4,0.0
Interaction (C10),2,0.1
Interaction (C10),3,0.2
Interaction (C10),6,0.3
Interaction (C10),6,0.4
Interaction (C10),12,0.5
Interaction (C10),10,0.6
Interaction (C10),12,0.7
Interaction (C10),14,0.8
Interaction (C10),11,0.9
Interaction (C10),22,1.0
Browser (C5),11,0.0
Browser (C5),2,0.1
Browser (C5),4,0.2
Browser (C5),7,0.3
Browser (C5),6,0.4
Browser (C5),10,0.5
Browser (C5),10,0.6
Browser (C5),11,0.7
Browser (C5),10,0.8
Browser (C5),8,0.9
Browser (C5),19,1.0
